Date,Time,Operation,Model,Input Tokens,Output Tokens,Total Tokens,Cost (USD)
2026-06-04,14:51:17,Intent Routing,gpt-4o-mini,784,18,802,$0.000128
2026-06-04,14:51:21,WhatsApp Formatting Agent,gpt-4o-mini,760,77,837,$0.000160
2026-06-04,14:51:44,Intent Routing,gpt-4o-mini,786,26,812,$0.000133
2026-06-04,14:51:47,WhatsApp Formatting Agent,gpt-4o-mini,770,46,816,$0.000143
2026-06-04,14:52:41,Intent Routing,gpt-4o-mini,779,20,799,$0.000129
2026-06-04,14:52:42,WhatsApp Formatting Agent,gpt-4o-mini,756,61,817,$0.000150
2026-06-04,14:54:56,Intent Routing,gpt-4o-mini,784,18,802,$0.000128
2026-06-04,14:55:00,WhatsApp Formatting Agent,gpt-4o-mini,759,77,836,$0.000160
2026-06-04,14:55:25,WhatsApp Formatting Agent,gpt-4o-mini,770,46,816,$0.000143
2026-06-04,14:55:49,WhatsApp Formatting Agent,gpt-4o-mini,747,31,778,$0.000131
2026-06-04,15:16:40,Intent Routing,gpt-4o-mini,786,19,805,$0.000129
2026-06-04,15:16:44,WhatsApp Formatting Agent,gpt-4o-mini,762,75,837,$0.000159
2026-06-04,15:17:30,WhatsApp Formatting Agent,gpt-4o-mini,770,46,816,$0.000143
2026-06-04,15:17:57,WhatsApp Formatting Agent,gpt-4o-mini,746,32,778,$0.000131
2026-06-04,15:18:10,Intent Routing,gpt-4o-mini,902,19,921,$0.000147
2026-06-04,15:18:13,WhatsApp Formatting Agent,gpt-4o-mini,750,28,778,$0.000129
2026-06-04,15:29:37,Intent Routing,gpt-4o-mini,891,19,910,$0.000145
2026-06-04,15:29:43,WhatsApp Formatting Agent,gpt-4o-mini,744,21,765,$0.000124
2026-06-04,15:36:34,Intent Routing,gpt-4o-mini,956,18,974,$0.000154
2026-06-04,15:36:50,WhatsApp Formatting Agent,gpt-4o-mini,1048,220,1268,$0.000289
2026-06-04,15:37:07,Intent Routing,gpt-4o-mini,1259,18,1277,$0.000200
2026-06-04,15:37:16,WhatsApp Formatting Agent,gpt-4o-mini,965,177,1142,$0.000251
2026-06-05,15:23:00,Intent Routing,gpt-4o-mini,1474,18,1492,$0.000232
2026-06-05,15:23:10,WhatsApp Formatting Agent,gpt-4o-mini,967,182,1149,$0.000254
2026-06-05,16:18:47,Intent Routing,gpt-4o-mini,1698,47,1745,$0.000283
2026-06-05,16:19:43,Intent Routing,gpt-4o-mini,1191,13,1204,$0.000186
2026-06-05,16:19:51,WhatsApp Formatting Agent,gpt-4o-mini,845,193,1038,$0.000243
2026-06-05,16:24:09,Intent Routing,gpt-4o-mini,1069,18,1087,$0.000171
2026-06-05,17:21:32,Intent Routing,gpt-4o-mini,1164,13,1177,$0.000182
2026-06-05,17:21:41,WhatsApp Formatting Agent,gpt-4o-mini,847,136,983,$0.000209
2026-06-05,17:33:41,Intent Routing,gpt-4o-mini,1254,13,1267,$0.000196
2026-06-05,17:33:50,WhatsApp Formatting Agent,gpt-4o-mini,845,136,981,$0.000208
2026-06-05,17:39:33,Intent Routing,gpt-4o-mini,1254,13,1267,$0.000196
2026-06-05,17:39:43,WhatsApp Formatting Agent,gpt-4o-mini,845,137,982,$0.000209
2026-06-05,17:40:23,Intent Routing,gpt-4o-mini,1246,19,1265,$0.000198
2026-06-05,17:40:27,WhatsApp Formatting Agent,gpt-4o-mini,769,88,857,$0.000168
2026-06-05,17:40:48,Intent Routing,gpt-4o-mini,1169,13,1182,$0.000183
2026-06-05,17:40:54,WhatsApp Formatting Agent,gpt-4o-mini,817,158,975,$0.000217
2026-06-05,17:41:16,Intent Routing,gpt-4o-mini,1140,39,1179,$0.000194
2026-06-05,17:41:20,WhatsApp Formatting Agent,gpt-4o-mini,751,34,785,$0.000133
2026-06-05,17:48:42,Intent Routing,gpt-4o-mini,1048,13,1061,$0.000165
2026-06-05,17:48:47,WhatsApp Formatting Agent,gpt-4o-mini,770,51,821,$0.000146
2026-06-05,17:54:18,Intent Routing,gpt-4o-mini,1049,13,1062,$0.000165
2026-06-05,17:54:23,WhatsApp Formatting Agent,gpt-4o-mini,753,35,788,$0.000134
2026-06-05,18:00:45,Intent Routing,gpt-4o-mini,986,13,999,$0.000156
2026-06-05,18:00:54,WhatsApp Formatting Agent,gpt-4o-mini,797,82,879,$0.000169
2026-06-05,18:01:37,Intent Routing,gpt-4o-mini,1037,25,1062,$0.000171
2026-06-05,18:01:41,WhatsApp Formatting Agent,gpt-4o-mini,769,45,814,$0.000142
2026-06-05,18:02:01,Intent Routing,gpt-4o-mini,1030,13,1043,$0.000162
2026-06-05,18:02:07,WhatsApp Formatting Agent,gpt-4o-mini,797,82,879,$0.000169
2026-06-05,18:05:52,Intent Routing,gpt-4o-mini,1074,13,1087,$0.000169
2026-06-05,18:05:59,WhatsApp Formatting Agent,gpt-4o-mini,789,74,863,$0.000163
